date,site,mean_copy,mean_copy_fill,missing_data,year,month,day,ihs_data,log_data,yday,site_year
2014-01-30,gonz,53.55,53.55,0,2014,1,30,4.673850146896998,3.9991177122790798,30,gonz_2014
2014-01-31,gonz,NA,157.35249999999996,1,2014,1,31,5.751645788946984,5.064823560671831,31,gonz_2014
2014-02-01,gonz,261.155,261.155,0,2014,2,1,6.25826494690864,5.568935931886434,32,gonz_2014
2014-02-02,gonz,NA,261.9033333333333,1,2014,2,2,6.261126304144688,5.571786410747634,33,gonz_2014
2014-02-03,gonz,NA,262.65166666666664,1,2014,2,3,6.26397949742944,5.574628787468604,34,gonz_2014
2014-02-04,gonz,263.4,263.4,0,2014,2,4,6.266824573216405,5.577463107977531,35,gonz_2014
2014-02-05,gonz,NA,480.015,1,2014,2,5,6.866965618973476,6.175898454650703,36,gonz_2014
2014-02-06,gonz,696.63,696.63,0,2014,2,6,7.239402119038579,6.547688876257255,37,gonz_2014
2014-02-07,gonz,NA,476.065,1,2014,2,7,6.858702683169902,6.167652749948469,38,gonz_2014
2014-02-08,gonz,255.5,255.5,0,2014,2,8,6.236373419823902,5.547128664610824,39,gonz_2014
2014-02-09,gonz,NA,346.38166666666666,1,2014,2,9,6.540690514190059,5.8504240794342275,40,gonz_2014
2014-02-10,gonz,NA,437.2633333333333,1,2014,2,10,6.773684095143267,6.08281994737353,41,gonz_2014
2014-02-11,gonz,528.145,528.145,0,2014,2,11,6.962518944034896,6.271262496378583,42,gonz_2014
2014-02-12,gonz,NA,966.33375,1,2014,2,12,7.566656719719476,6.8745435755133535,43,gonz_2014
2014-02-13,gonz,NA,1404.5225,1,2014,2,13,7.9405999736427475,7.248164398756338,44,gonz_2014
2014-02-14,gonz,NA,1842.71125,1,2014,2,14,8.212140525678896,7.519535802918118,45,gonz_2014
2014-02-15,gonz,2280.9,2280.9,0,2014,2,15,8.425472609516218,7.732763708252379,46,gonz_2014
2014-02-16,gonz,NA,9842.124999999998,1,2014,2,16,9.887574105156657,9.194528520928845,47,gonz_2014
2014-02-17,gonz,NA,17403.35,1,2014,2,17,10.457565176792338,9.764475453957827,48,gonz_2014
